age,job_1,job_2,job_3,job_4,job_5,job_6,job_7,job_8,job_9,job_10,job_11,job_12,marital_1,marital_2,marital_3,education_1,education_2,education_3,education_4,default,balance,housing,loan,contact_1,contact_2,contact_3,day,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,duration,campaign,pdays,previous,poutcome,y
60,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,54,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,221,1,-1,0,,0
57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-37,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,173,1,-1,0,,0
36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,101,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,426,1,-1,0,,0
55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,383,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,287,1,-1,0,,0
60,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,81,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,101,1,-1,0,,0
39,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,203,1,-1,0,,0
46,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,229,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,197,1,-1,0,,0
44,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-674,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,257,1,-1,0,,0
53,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,90,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,124,1,-1,0,,0
52,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,128,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,229,1,-1,0,,0
59,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,179,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,55,3,-1,0,,0
27,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,400,1,-1,0,,0
44,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,54,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,197,1,-1,0,,0
47,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,151,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,190,1,-1,0,,0
34,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,61,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,21,1,-1,0,,0
59,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,30,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,514,1,-1,0,,0
45,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,523,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,849,2,-1,0,,0
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,31,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,194,1,-1,0,,0
46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,79,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,144,1,-1,0,,0
56,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,-34,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,212,2,-1,0,,0
36,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,448,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,286,1,-1,0,,0
59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,81,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,107,1,-1,0,,0
44,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,144,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,247,2,-1,0,,0
41,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,351,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,518,1,-1,0,,0
33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-67,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,364,1,-1,0,,0
59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,262,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,178,1,-1,0,,0
57,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,98,1,-1,0,,0
56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,56,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,439,1,-1,0,,0
51,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,26,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,79,1,-1,0,,0
34,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,120,3,-1,0,,0
43,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,41,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,127,2,-1,0,,0
52,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,175,1,-1,0,,0
33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,105,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,262,2,-1,0,,0
29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,818,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,61,1,-1,0,,0
34,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,-16,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,78,1,-1,0,,0
31,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,143,1,-1,0,,0
55,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2476,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,579,1,-1,0,,1
55,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1185,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,677,1,-1,0,,0
32,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,217,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,345,1,-1,0,,0
38,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1685,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,185,1,-1,0,,0
55,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,802,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,100,2,-1,0,,0
28,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,125,2,-1,0,,0
23,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,94,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,193,1,-1,0,,0
32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,136,1,-1,0,,0
43,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,73,1,-1,0,,0
32,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,517,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,528,1,-1,0,,0
46,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,265,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,541,1,-1,0,,0
53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,947,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,163,1,-1,0,,0
34,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,301,1,-1,0,,0
57,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,42,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,46,1,-1,0,,0
37,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,37,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,204,1,-1,0,,0
59,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,57,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,98,1,-1,0,,0
33,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,22,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,71,1,-1,0,,0
56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,157,2,-1,0,,0
